,age_at_visit,LANGUAGE,OTHER_LANGUAGE,INCOME,RACE_1,CURRENT_GENDER,MARITAL_STATUS,EDUCATION,EMPLOYMENT,LGBT_IDENTITY,ETHNICITY_1,GENDER,RIG
939,6.704287933388562,10.874212934830874,4.943475597267988,4.304357326499926,3.3984795038644764,0.7005357985274543,1.1428939038058101,5.173773216689782,3.655044414368713,0.2854982992486106,0.17985504760942259,0.686860861630378,42.04927483773199
239,6.704287933388562,0.3684013809112801,9.289250434109718,5.967322339222356,4.414781316193577,1.4333437672200044,1.1428939038058101,3.755271862107367,3.655044414368713,0.2854982992486106,3.5613299795465188,1.4230018229985455,42.000427453121056
1139,6.23035674505615,9.874212934830874,10.874212934830874,5.967322339222356,4.414781316193577,0.7005357985274543,1.1428939038058101,1.3565435466970626,0.7617734280493221,0.2854982992486106,0.17985504760942259,0.0,41.787986294071516
1854,5.350650978773861,6.173773216689782,10.874212934830874,3.1531137461236893,4.414781316193577,0.7005357985274543,1.3292485020416374,1.3565435466970626,3.8518451218024197,0.2854982992486106,3.5613299795465188,0.686860861630378,41.73839430210587
1038,6.350650978773861,3.7656884780527053,10.874212934830874,2.7449299178859077,4.414781316193577,1.4333437672200044,3.366418294632178,3.755271862107367,3.8518451218024197,0.2854982992486106,0.17985504760942259,0.686860861630378,41.7093568799873
674,4.829818815472421,10.874212934830874,10.874212934830874,2.7449299178859077,3.3984795038644764,1.4333437672200044,3.366418294632178,1.0928532213062145,0.7617734280493221,0.2854982992486106,0.17985504760942259,1.4230018229985455,41.26439798794884
1223,4.335054123722843,0.3684013809112801,10.874212934830874,2.8189304993296846,0.5188618384060617,8.552284839943512,1.3292485020416374,5.173773216689782,0.7617734280493221,4.570432186653771,0.17985504760942259,1.4230018229985455,40.90582982118673
259,6.481895512052114,10.874212934830874,8.874212934830874,3.1531137461236893,0.5188618384060617,0.7005357985274543,1.3292485020416374,1.0928532213062145,3.194732835325428,0.2854982992486106,3.5613299795465188,0.686860861630378,40.753356463869856
106,6.350650978773861,0.3684013809112801,0.8969330113309578,5.967322339222356,4.414781316193577,1.4333437672200044,3.366418294632178,3.755271862107367,3.194732835325428,6.016231939703302,3.5613299795465188,1.4230018229985455,40.748419527965375
1140,7.173773216689782,0.3684013809112801,0.8969330113309578,4.304357326499926,0.5188618384060617,7.874212934830874,1.1428939038058101,3.755271862107367,3.655044414368713,6.016231939703302,3.5613299795465188,1.4230018229985455,40.69031363119914
847,5.201787592859379,5.350650978773861,10.874212934830874,3.414781316193577,3.3984795038644764,0.7005357985274543,1.1428939038058101,1.3565435466970626,3.655044414368713,4.570432186653771,0.17985504760942259,0.686860861630378,40.53207808581477
1522,4.51666093021279,0.3684013809112801,7.552284839943512,3.7244658153261923,4.414781316193577,8.552284839943512,1.1428939038058101,1.3565435466970626,0.7617734280493221,3.8298188154724206,3.5613299795465188,0.686860861630378,40.468099657732374
