LANGUAGE,INCOME,CURRENT_GENDER,RACE_1,MARITAL_STATUS,EDUCATION,EMPLOYMENT,LGBT_IDENTITY,ETHNICITY_1,GENDER,OTHER_LANGUAGE,dis-score,score
13,8.0,1.0,5.0,3,3.0,3.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,10.0,0.0,5.0,1,3.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,10.0,0.0,5.0,1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,10.0,0.0,5.0,1,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
13,4.0,0.0,7.0,3,3.0,0.0,0.0,1.0,1.0,1.0,0.9651,60480.0
13,5.0,0.0,4.0,3,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,6.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,7.0,1.0,2.0,1,3.0,0.0,1.0,0.0,2.0,-999.0,0.9629,56160.0
13,6.0,1.0,4.0,1,3.0,0.0,2.0,0.0,2.0,-999.0,0.9651,60480.0
13,8.0,0.0,5.0,1,4.0,3.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,10.0,1.0,5.0,3,4.0,3.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,7.0,0.0,5.0,1,3.0,2.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,7.0,1.0,5.0,1,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
40,7.0,1.0,6.0,1,4.0,0.0,0.0,1.0,2.0,0.0,0.9892,247680.0
13,8.0,0.0,5.0,1,3.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,9.0,-999.0,5.0,1,4.0,3.0,0.0,-999.0,2.0,1.0,0.0,0.0
13,2.0,0.0,6.0,3,1.0,1.0,3.0,1.0,1.0,-999.0,0.9948,589680.0
13,10.0,1.0,5.0,1,4.0,0.0,1.0,0.0,2.0,-999.0,0.0,0.0
13,1.0,1.0,5.0,3,1.0,4.0,0.0,0.0,2.0,1.0,0.6966,3240.0
13,8.0,0.0,5.0,3,4.0,0.0,1.0,0.0,1.0,-999.0,0.0,0.0
13,8.0,1.0,6.0,3,4.0,0.0,0.0,0.0,2.0,1.0,0.8211,7320.0
