Combination,Unique Rows,Unique Rows Excluding Columns,Score
"EduYrsEstCap, HandednessScore, Height_W1, AgeMRI_W1",449,391,0.13808463251670378
"EduYrsEstCap, HandednessScore, Height_W1, Weight_W1",434,456,-0.0069124423963133645
"EduYrsEstCap, HandednessScore, Height_W1, BMI_W1",434,450,0.0069124423963133645
"EduYrsEstCap, HandednessScore, AgeMRI_W1, Weight_W1",453,391,0.1368653421633554
"EduYrsEstCap, HandednessScore, AgeMRI_W1, BMI_W1",453,391,0.1368653421633554
"EduYrsEstCap, HandednessScore, Weight_W1, BMI_W1",434,440,0.029953917050691243
"EduYrsEstCap, EduComp, Sex, Ethnicity",17,453,0.0
"EduYrsEstCap, EduComp, Sex, Height_W1",103,453,0.0
"EduYrsEstCap, EduComp, Sex, AgeMRI_W1",269,416,0.137546468401487
"EduYrsEstCap, EduComp, Sex, Weight_W1",240,453,0.0
"EduYrsEstCap, EduComp, Sex, BMI_W1",398,453,0.0
"EduYrsEstCap, EduComp, Ethnicity, Height_W1",97,453,0.0
"EduYrsEstCap, EduComp, Ethnicity, AgeMRI_W1",218,420,0.15137614678899083
"EduYrsEstCap, EduComp, Ethnicity, Weight_W1",203,453,0.0
"EduYrsEstCap, EduComp, Ethnicity, BMI_W1",389,453,0.0
"EduYrsEstCap, EduComp, Height_W1, AgeMRI_W1",438,422,0.07077625570776255
"EduYrsEstCap, EduComp, Height_W1, Weight_W1",389,453,0.0
"EduYrsEstCap, EduComp, Height_W1, BMI_W1",389,447,0.015424164524421594
"EduYrsEstCap, EduComp, AgeMRI_W1, Weight_W1",450,422,0.06888888888888889
"EduYrsEstCap, EduComp, AgeMRI_W1, BMI_W1",456,422,0.06798245614035088
"EduYrsEstCap, EduComp, Weight_W1, BMI_W1",389,434,0.04884318766066838
"EduYrsEstCap, Sex, Ethnicity, Height_W1",102,453,0.0
"EduYrsEstCap, Sex, Ethnicity, AgeMRI_W1",269,431,0.08178438661710037
"EduYrsEstCap, Sex, Ethnicity, Weight_W1",234,453,0.0
"EduYrsEstCap, Sex, Ethnicity, BMI_W1",400,453,0.0
"EduYrsEstCap, Sex, Height_W1, AgeMRI_W1",436,431,0.05045871559633028
"EduYrsEstCap, Sex, Height_W1, Weight_W1",398,453,0.0
"EduYrsEstCap, Sex, Height_W1, BMI_W1",398,451,0.005025125628140704
"EduYrsEstCap, Sex, AgeMRI_W1, Weight_W1",454,431,0.048458149779735685
"EduYrsEstCap, Sex, AgeMRI_W1, BMI_W1",456,431,0.04824561403508772
"EduYrsEstCap, Sex, Weight_W1, BMI_W1",398,447,0.01507537688442211
"EduYrsEstCap, Ethnicity, Height_W1, AgeMRI_W1",434,435,0.041474654377880185
"EduYrsEstCap, Ethnicity, Height_W1, Weight_W1",389,453,0.0
"EduYrsEstCap, Ethnicity, Height_W1, BMI_W1",389,451,0.005141388174807198
"EduYrsEstCap, Ethnicity, AgeMRI_W1, Weight_W1",452,435,0.03982300884955752
"EduYrsEstCap, Ethnicity, AgeMRI_W1, BMI_W1",456,435,0.039473684210526314
"EduYrsEstCap, Ethnicity, Weight_W1, BMI_W1",389,449,0.010282776349614395
"EduYrsEstCap, Height_W1, AgeMRI_W1, Weight_W1",456,435,0.039473684210526314
"EduYrsEstCap, Height_W1, AgeMRI_W1, BMI_W1",456,381,0.15789473684210525
"EduYrsEstCap, Height_W1, Weight_W1, BMI_W1",385,400,0.13766233766233765
"EduYrsEstCap, AgeMRI_W1, Weight_W1, BMI_W1",456,300,0.3355263157894737
"HandednessScore, EduComp, Sex, Ethnicity",78,456,-0.038461538461538464
"HandednessScore, EduComp, Sex, Height_W1",269,456,-0.011152416356877323
"HandednessScore, EduComp, Sex, AgeMRI_W1",386,403,0.12953367875647667
"HandednessScore, EduComp, Sex, Weight_W1",363,456,-0.008264462809917356
"HandednessScore, EduComp, Sex, BMI_W1",430,456,-0.0069767441860465115
"HandednessScore, EduComp, Ethnicity, Height_W1",254,456,-0.011811023622047244
"HandednessScore, EduComp, Ethnicity, AgeMRI_W1",363,411,0.11570247933884298
