,age,sexual_attraction_M,sexual_attraction_F,gender_identity_M,gender_identity_F,education_level,sex,handedness,religious_upbringing,religious_now,background_SES,RIG
661,4.366127898797897,1.9510903995190534,1.903784684740697,7.857980995127572,4.53605290024021,1.079903865592214,1.060319469273812,3.1855556531560767,1.5542002469504692,2.235929175671196,2.8026985596263825,32.53364384869558
914,4.68805599368526,5.15754127698648,5.398549376490275,4.076621281602913,4.53605290024021,3.3822475641611742,1.060319469273812,0.1679830237081267,0.6005931524349205,0.34425339917513476,2.8026985596263825,32.21491599738469
600,5.15754127698648,2.2141248053528475,2.3581351080443667,4.8135868757691185,4.0,3.3822475641611742,0.942101616291799,3.1855556531560767,0.6005931524349205,2.235929175671196,3.130060540564373,32.01987576843236
634,4.8135868757691185,5.15754127698648,5.398549376490275,4.8135868757691185,5.857980995127572,1.079903865592214,0.942101616291799,0.1679830237081267,0.6005931524349205,0.34425339917513476,2.5633602462359453,31.73944070358071
918,4.500428990509489,5.15754127698648,5.951090399519053,1.9391177578529777,5.857980995127572,3.3822475641611742,0.942101616291799,0.1679830237081267,0.6005931524349205,0.34425339917513476,2.8026985596263825,31.64603673539311
109,4.648527629498623,4.273018494406416,7.53605290024021,4.8135868757691185,4.0,1.079903865592214,0.942101616291799,0.1679830237081267,0.6005931524349205,0.34425339917513476,3.130060540564373,31.536081497680936
382,4.273018494406416,5.15754127698648,5.398549376490275,5.770518153877233,4.53605290024021,1.079903865592214,1.060319469273812,0.1679830237081267,0.6005931524349205,0.34425339917513476,3.130060540564373,31.5187936527492
569,4.770518153877233,5.15754127698648,5.398549376490275,4.076621281602913,1.9876162755441675,1.079903865592214,1.060319469273812,3.1855556531560767,1.5542002469504692,0.34425339917513476,2.8026985596263825,31.417777558275155
208,5.951090399519053,5.15754127698648,5.465663572348812,1.9391177578529777,2.235929175671196,3.3822475641611742,0.942101616291799,0.1679830237081267,0.6005931524349205,2.235929175671196,3.171480467944354,31.249677182590087
267,4.500428990509489,5.15754127698648,5.398549376490275,4.076621281602913,4.53605290024021,1.079903865592214,1.060319469273812,0.1679830237081267,1.5542002469504692,0.34425339917513476,3.2286243750479624,31.104478205577088
503,4.050626073069968,6.398549376490275,5.951090399519053,1.9391177578529777,2.235929175671196,1.2141248053528475,0.942101616291799,3.1855556531560767,1.5542002469504692,0.34425339917513476,3.2286243750479624,31.044172878577754
837,4.465663572348812,1.9510903995190534,1.903784684740697,5.770518153877233,4.53605290024021,1.079903865592214,1.060319469273812,3.1855556531560767,1.5542002469504692,2.235929175671196,3.1437354774614494,30.88675359883122
35,4.050626073069968,4.273018494406416,3.903784684740697,1.9391177578529777,4.0,1.079903865592214,0.942101616291799,3.1855556531560767,1.5542002469504692,0.34425339917513476,5.33441903907056,30.606980830306316
606,4.050626073069968,6.398549376490275,5.951090399519053,1.9391177578529777,2.235929175671196,3.3822475641611742,0.942101616291799,0.1679830237081267,0.6005931524349205,2.235929175671196,2.5633602462359453,30.467527561106635
