age,sexual_attraction_M,sexual_attraction_F,gender_identity_M,gender_identity_F,education_level,sex,handedness,religious_upbringing,religious_now,background_SES,dis-score,score
24.75,1.0,7.0,7.0,1.0,2,1,1,0,0,4.0,0.0,0.0
21.25,6.0,2.0,1.0,7.0,2,0,1,0,0,5.0,0.8822,25200.0
21.25,7.0,1.0,1.0,7.0,0,0,1,1,0,4.0,0.0,0.0
24.75,2.0,7.0,7.0,2.0,2,1,1,1,0,5.0,0.9865,367920.0
20.5,7.0,1.0,1.0,7.0,1,0,1,1,1,6.0,0.9837,293040.0
25.25,,,,,2,0,1,1,1,2.0,0.0,0.0
21.0,,,,,0,1,1,0,0,4.0,0.0,0.0
22.0,1.0,7.0,7.0,1.0,2,1,1,0,0,3.5,0.0,0.0
21.75,,,,,2,0,1,1,1,5.0,0.2673,720.0
21.0,2.0,6.0,1.0,7.0,2,0,1,0,0,4.0,0.9947,1103760.0
23.75,1.0,7.0,7.0,1.0,0,1,0,1,0,4.0,0.8022,12240.0
23.25,7.0,1.0,1.0,7.0,2,0,1,0,0,2.0,0.0,0.0
24.25,,,,,0,0,1,0,0,4.5,0.0,0.0
23.5,,,,,0,1,1,0,0,4.0,0.0,0.0
20.0,7.0,2.0,1.0,7.0,0,0,1,0,0,5.5,0.8769,23760.0
22.0,6.0,2.0,1.0,7.0,0,0,1,0,0,6.0,0.0,0.0
22.25,,,,,2,0,1,1,1,2.0,0.0737,120.0
20.0,1.0,7.0,6.0,1.0,2,1,1,1,0,5.0,0.9333,52560.0
23.0,,,,,2,1,1,1,1,2.0,0.0,0.0
24.0,,,,,2,0,1,1,1,4.0,0.0,0.0
22.25,,,,,2,0,0,0,0,2.5,0.6561,5040.0
21.75,,,,,2,0,1,1,0,3.5,0.2673,720.0
21.25,,,,,0,0,0,0,0,5.0,0.0,0.0
20.25,,,,,2,0,1,1,1,3.0,0.0,0.0
25.0,7.0,1.0,7.0,1.0,0,1,1,0,0,4.0,0.9772,196560.0
25.75,1.0,7.0,7.0,1.0,2,1,1,0,0,2.0,0.3967,1440.0
23.75,2.0,6.0,7.0,1.0,0,1,1,0,0,6.0,0.9682,131040.0
25.25,1.0,7.0,7.0,1.0,2,1,1,1,0,2.0,0.3603,1200.0
22.25,6.0,2.0,1.0,7.0,0,0,1,0,0,6.0,0.0,0.0
22.0,,,,,2,1,1,0,0,2.5,0.0,0.0
23.75,6.0,3.0,1.0,7.0,0,0,1,0,0,3.0,0.9142,38160.0
24.25,1.0,7.0,7.0,1.0,0,1,1,0,0,6.0,0.0,0.0
21.0,7.0,1.0,1.0,7.0,2,0,1,0,0,4.0,0.0,0.0
25.25,7.0,1.0,1.0,7.0,2,0,1,0,0,2.0,0.8611,20160.0
25.25,7.0,1.0,1.0,6.0,0,0,0,0,0,3.5,0.9625,107400.0
22.75,1.0,7.0,7.0,1.0,0,1,0,0,0,5.5,0.8822,25200.0
23.5,1.0,7.0,7.0,1.0,2,1,0,0,0,4.5,0.4285,1680.0
20.25,1.0,7.0,7.0,1.0,2,1,1,0,0,6.0,0.8822,25200.0
23.25,,,,,1,0,1,0,0,3.0,0.0,0.0
23.5,,,,,2,1,1,1,0,5.0,0.3967,1440.0
23.5,5.0,3.0,2.0,6.0,2,0,1,0,0,3.0,0.9795,223200.0
23.5,4.0,4.0,7.0,1.0,2,1,1,0,1,3.5,0.9941,990720.0
22.5,,,,,0,0,1,1,1,3.0,0.0,0.0
25.25,7.0,1.0,1.0,7.0,2,0,1,0,0,3.0,0.0,0.0
24.75,,,,,0,0,1,1,1,2.0,0.7747,10080.0
21.5,,,,,0,0,1,1,1,2.0,0.0,0.0
23.75,7.0,1.0,1.0,7.0,1,0,1,0,0,2.0,0.0,0.0
23.5,,,,,2,0,1,0,1,2.0,0.6812,5760.0
25.25,,,,,2,0,1,0,0,3.5,0.0,0.0
24.0,,,,,0,1,1,0,0,6.0,0.0,0.0
23.25,1.0,7.0,7.0,1.0,0,1,1,0,0,6.0,0.0,0.0
22.75,,,,,0,0,1,0,0,3.0,0.0,0.0
24.25,7.0,1.0,1.0,7.0,0,0,0,0,0,4.5,0.9251,45360.0
22.0,,,,,2,1,1,1,0,2.5,0.2673,720.0
23.75,,,,,0,0,1,0,0,4.5,0.0,0.0
24.75,7.0,1.0,1.0,7.0,2,0,1,0,0,4.0,0.3967,1440.0
23.25,,,,,1,1,1,1,0,4.0,0.8292,15120.0
20.5,,,,,2,1,1,0,0,2.0,0.0,0.0
25.5,1.0,7.0,7.0,1.0,1,1,1,0,0,2.5,0.0,0.0
25.0,7.0,7.0,1.0,7.0,0,0,1,0,0,3.5,0.8992,30960.0
25.5,,,,,0,0,1,0,0,6.0,0.0,0.0
25.75,6.0,2.0,1.0,7.0,0,0,1,0,0,4.5,0.8611,20160.0
22.5,,,,,0,0,0,0,0,5.0,0.0,0.0
20.5,,,,,0,0,1,0,0,5.0,0.0,0.0
21.25,1.0,7.0,7.0,1.0,0,1,1,1,0,5.5,0.6281,4368.0
21.25,7.0,1.0,1.0,6.0,2,0,1,1,1,3.0,0.9743,170040.0
24.0,1.0,7.0,7.0,1.0,0,1,1,1,1,5.0,0.8292,15120.0
23.0,7.0,1.0,2.0,6.0,0,0,1,0,0,5.0,0.0,0.0
24.25,7.0,1.0,1.0,7.0,2,0,1,1,1,4.0,0.0,0.0
24.75,,,,,0,0,1,0,0,5.0,0.0,0.0
20.25,7.0,1.0,1.0,7.0,2,0,1,0,0,4.0,0.0,0.0
22.0,1.0,7.0,7.0,1.0,0,1,1,0,0,6.0,0.6887,6000.0
